Weight,Name
250,golang/dep
393,Microsoft/vscode
427,ionic-team/ionic
108,conda/conda
72,Homebrew/homebrew-core
22,prettier/prettier
34,trilinos/Trilinos
71,vmware/vic
56,ManageIQ/manageiq
29,tensorflow/tensorflow
28,ros/rosdistro
21,w3c/web-platform-tests
11,strongloop/loopback
9,SpongePowered/SpongeForge
50,atom/atom
22,spring-projects/spring-boot
31,python/typeshed
80,NativeScript/NativeScript
5,canjs/dom-patch
6,odoo/odoo
9,chef/chef-dk
47,vector-im/riot-web
9,samvera-labs/hyku
22,poldracklab/fmriprep
9,ckeditor/ckeditor5-dev
5,reactor/reactor-addons
88,openshiftio/openshift.io
58,ros-visualization/rqt_common_plugins
4,choderalab/yank
5,ros2/demos
101,apple/swift
27,ipfs/go-ipfs
8,balderdashy/sails-mongo
15,exercism/problem-specifications
9,edx/edx-platform
15,vaadin/testbench
12,pallets/flask
204,zcash/zcash
22,wet-boew/wet-boew
2,httprb/form_data
5,eclipse/xtext-extras
8,kivy/kivy
94,OPM/opm-simulators
2,se-edu/addressbook-level4
5,openfisca/openfisca-core
8,PX4/Firmware
7,mozilla/fxa-auth-server
37,nolanlawson/pouchdb-find
2,andig/homebridge-fritz
4,eclipse/vert.x
16,nengo/nengo
17,kubedb/apimachinery
29,LLK/scratch-gui
23,soimort/you-get
5,imagej/imagej-common
4,RackHD/on-tasks
49,kiwix/kiwix-xulrunner
5,kiegroup/kie-wb-common
5,parse-community/parse-server
6,KeepSafe/aiohttp
3,avocado-framework/avocado-vt
3,mapbox/node-pre-gyp
4,artefactual/archivematica
5,nextcloud/jsxc.nextcloud
7,integer32llc/rust-playground
38,Digipalvelutehdas/APIKA
3,deeplearning4j/nd4j
3,desihub/desitarget
6,TerriaJS/nationalmap
6,dj-stripe/dj-stripe
10,openhab/openhab2-addons
5,etalab/geo.data.gouv.fr
2,openstf/stf
6,hbz/lobid-resources
4,mdn/data
15,quintel/etmodel
28,openvstorage/framework
5,openstreetmap/iD
132,IronLanguages/main
9,mozilla/addons-server
7,realm/realm-object-store
2,tgriesser/knex
8,imanuelcostigan/RSQLServer
2,w3c/respec
26,angular-redux/form
9,googlei18n/fontmake
4,alphagov/frontend
16,opendatakit/collect
6,broadinstitute/gatk
10,SpiNNakerManchester/SpiNNUtils
10,DD-DeCaF/pathway-vis
2,hasgeek/lastuser
5,sap-oc/crowbar-openstack
11,tracer-x/klee
5,calvinmetcalf/shapefile-js
2,SimpleITK/SimpleITK
2,sequelize/sequelize
3,screwdriver-cd/screwdriver
2,napalm-automation/napalm-ios
2,w3c/sensors
1,Slicer/Slicer
86,n8rzz/atc
7,mxcube/mxcube
1,h5py/h5py
3,paulmillr/loggy
9,getgauge/gauge
3,eggjs/egg
2,sublimehq/Packages
8,spring-cloud/spring-cloud-dataflow
18,inspirehep/inspire-next
3,jitsi/jitsi
4,alerta/python-alerta-client
5,JMRI/JMRI
7,zopefoundation/Zope
3,ember-engines/broccoli-dependency-funnel
23,simpeg/simpeg
3,dcos/dcos
7,webdriverio/webdriverio
11,lxde/pcmanfm-qt
15,vega/vega
8,Graylog2/graylog2-server
17,18F/web-design-standards
5,scitran/core
11,googlecartographer/cartographer_ros
6,aurelia-ui-toolkits/aurelia-materialize-bridge
1,18F/federalist-garden-build
3,mapstruct/mapstruct
3,conjure-up/conjure-up
7,zooniverse/Panoptes
15,TryGhost/Ghost
2,avajs/pretty-format
4,cucumber/cucumber-ruby-core
1,LunarG/VulkanTools
11,Semantic-Org/Semantic-UI
3,apollographql/subscriptions-transport-ws
3,juju-solutions/build-cloud
2,openai/gym
5,kobotoolbox/kpi
2,ControlSystemStudio/cs-studio
3,jspm/registry
3,geneontology/noctua
1,xbmc/xbmc
2,theforeman/puppet-pulp
2,prestodb/presto
2,cloudfoundry/uaa
10,Valloric/YouCompleteMe
2,apache/incubator-pulsar
1,RADAR-CNS/radar-prmt-android
7,gpodder/gpodder
3,qbittorrent/qBittorrent
1,fastlane/fastlane
1,jhiesey/stream-http
2,pupil-labs/pyuvc
1,django-oscar/django-oscar
12,kartoza/geonode_qgis_server
3,clarat-org/clarat_base
2,NoteSelf/NoteSelf.github.io
2,pgjdbc/pgjdbc
23,awwad/uptane
3,pre-commit/pre-commit-hooks
2,pmd/pmd
1,CoderDojo/cp-zen-platform
8,dib-lab/khmer
1477,cms-sw/cmssw
3,cyclejs/cyclejs
2,openactive/modelling-opportunity-data
9,c2corg/v6_ui
12,stefan-niedermann/nextcloud-notes
3,LakeMaps/hangashore
45,zaproxy/zaproxy
34,frappe/erpnext
1,voc/voctoweb
10,cherrypy/cherrypy
7,ilios/frontend
10,syncthing/syncthing
5,opencv/opencv
3,department-of-veterans-affairs/vets-website
6,getnikola/nikola
618,SickRage/SickRage
2,dropbox/pynsot
13,osate/osate2-core
1,measurement-kit/measurement-kit
7,fabric8io/fabric8
6,WhisperSystems/Signal-Desktop
11,scriptPilot/app-framework
1,praw-dev/praw
4,cucumber/cucumber-jvm
1,gorhill/uBlock
4,gslab-econ/template
3,lammps/lammps
1,inaturalist/inaturalist
4,rstudio/leaflet
4,mixxxdj/mixxx
14,UniversalMediaServer/UniversalMediaServer
2,ontohub/ontohub-backend
4,OHDSI/Atlas
4,AnySoftKeyboard/LanguagePack
7,open-eid/chrome-token-signing
8,Beit-Hatfutsot/dbs-front
37,ualbertalib/HydraNorth
5,Microsoft/pxt
7,AnalyticalGraphicsInc/cesium
2,openmotics/gateway-frontend
2,wireapp/wire-desktop
3,ethereum/pyethapp
3,rcbops/rpc-openstack
2,informatics-isi-edu/ermrestjs
3,HabitRPG/habitica-android
1,zotero/zotero-connectors
3,bndtools/bnd
3,documentationjs/documentation
37,wefork/wekan
5,grote/Transportr
1,nemccarthy/stash-pullrequest-builder-plugin
9,PhoenicisOrg/POL-POM-5
4,PalouseRobosub/robosub_simulator
3,inversify/inversify-express-example
9,perfsonar/toolkit
5,wpilibsuite/allwpilib
1,square/okhttp
1,jupyterhub/kubespawner
1,hoodiehq/pouchdb-admins
2,EUDAT-B2STAGE/http-api-base
1,simon-weber/gmusicapi
12,mozilla/thimble.mozilla.org
4,metasfresh/metasfresh-webui-api
3,kelloggm/checker-framework
2,redbadger/website-honestly
11,hypothesis/h
2,mikepenz/MaterialDrawer
4,AnyDSL/impala
1,mirumee/saleor-demo
24,NuGet/Home
1,pattern-lab/patternlab-node
2,flamingo-geocms/flamingo
1,spring-cloud/spring-cloud-connectors
1,project-callisto/django-wizard-builder
1,avelino/awesome-go
2,ethereum/go-ethereum
1,uwescience/raco
1,inveniosoftware/invenio-oaiserver
2,jupyter/jupyter_console
2,lukesampson/scoop-extras
4,angr/simuvex
1,globus/globus-sdk-python
6,lxde/qterminal
4,2graphic/sinap-ide
2,oncletom/nodebook
4,nemerosa/ontrack
5,andymeneely/dev-fortress-server
17,joehand/dat-next
1,csirtgadgets/csirtg-smrt-py
2,Zarel/Pokemon-Showdown-Client
2,inspirehep/invenio
64,impactoss/impactoss-server
1,nats-io/go-nats
3,rigdenlab/SIMBAD
1,cfpb/owning-a-home
2,kiegroup/jbpm-designer
3,hoodiehq/hoodie
1,RadeonOpenCompute/hcc-clang-upgrade
4,Tendrl/common
2,openstreetmap/osm2pgsql
3,duckduckgo/zeroclickinfo-spice
73,RestComm/Restcomm-Connect
1,ligovirgo/dqsegdb
2,atomist/rug-rugs
1,hitobito/hitobito_pbs
4,donejs/developer-relations
2,ssbc/patchwork
3,FormidableLabs/victory
4,theforeman/foreman
2,SpectoLabs/hoverfly-java
1,shapesecurity/shift-parser-js
2,volumio/Volumio2-UI
1,skorokithakis/catt
1,spulec/moto
11,magfest/ubersystem
39,OpenWIS/openwis
5,ilastik/ilastik
3,asamuzaK/withExEditor
4,CloudSlang/CloudSlang.github.io
6,yeoman/generator-generator
30,SkygearIO/skygear-doc
3,Elico-Corp/odoo-addons
1,phovea/phovea_vis
1,siom79/japicmp
3,DaemonEngine/Daemon
2,dls-controls/ADCore
4,certtools/intelmq
1,gomoto/fullstack-build
6,CaseyCarter/cmcstl2
14,mattanger/ckb-next
2,me-box/databox
13,uclouvain/osis
9,kubic-project/velum
3,QingWei-Li/docsify
4,esp8266/Arduino
2,desihub/surveysim
2,fluddokt/opsu
1,pulp/pulp
2,pockethub/PocketHub
1,fedora-modularity/product-definition-center
3,gchq/gaffer-tools
1,BD2KGenomics/toil-rnaseq
2,18F/cg-cf-release
9,termux/termux-app
4,prusa3d/Slic3r
3,lime-company/powerauth-crypto
2,jitsi/jitsi-videobridge
3,ewels/MultiQC
3,LI3DS/api-li3ds
4,LaxarJS/laxar
1,mroth/scmpuff
1,RubaXa/Sortable
2,adaptlearning/adapt_framework
2,photonstorm/phaser-ce
2,thelounge/lounge
3,codalab/codalab-worksheets
2,svaarala/duktape
2,TheCoder4eu/BootsFaces-OSP
1,giantswarm/cert-operator
2,YunoHost/yunohost-admin
2,hotosm/oam-uploader-api
6,flutter/flutter-intellij
2,MovingBlocks/Terasology
1,guidance-guarantee-programme/telephone_appointment_planner
2,connormanning/entwine
3,osuosl-cookbooks/ganeti_webmgr
1,JabRef/jabref
3,phonegap/phonegap-cli
2,cyverse/atmosphere
12,saltstack/salt
10,CocoaPods/CocoaPods
10,AliceO2Group/AliceO2
7,crdschurch/crds-styleguide
3,RocketChat/Rocket.Chat
1,witheve/eve-starter
12,alisw/AliPhysics
2,QMatrixClient/Quaternion
1,QTodoTxt/QTodoTxt2
1,puppetlabs/puppet
2,chef/inspec
2,jrl-umi3218/RBDyn
2,mozilla/nunjucks
2,liqd/adhocracy4
7,idaholab/moose
1,sensu/sensu-omnibus
3,SteveLTN/https-portal
3,semantic-release/semantic-release
2,maxpoint/spylon-kernel
2,crypto-browserify/crypto-browserify
1,rails-api/active_model_serializers
1,dbcli/mycli
1,LSSTDESC/imSim
1,CellProfiler/CellProfiler-plugins
5,lbryio/lbry-app
10,alphagov/manuals-publisher
2,pyupio/changelogs
1,clintbellanger/flare-game
2,nextcloud/twofactor_totp
2,18F/atf-eregs
5,bhdresh/CVE-2017-0199
2,pothosware/PothosCore
3,rpm-software-management/dnf-plugins-extras
2,F5Networks/f5-openstack-lbaasv2-driver
2,Picolab/pico-engine
1,cocos2d/cocos2d-x
5,frictionlessdata/tableschema-py
1,buildkite/frontend
2,triplea-game/triplea
5,duniter/duniter
3,BlueBrain/Monsteer
2,oss-gate/workshop
3,javaee/glassfish
9,psi4/psi4
2,html-next/vertical-collection
5,RADAR-CNS/radar-commons
1,yohanboniface/falcon-multipart
1,wso2/product-iots
3,Transkribus/TWI-dashboard
1,kvhnuke/etherwallet
9,cucumber/cucumber-js
20,ros2/rmw_fastrtps
9,airblade/paper_trail
7,NYPL-Simplified/server_core
2,3Blades/react-frontend
1,azavea/mos-energy-benchmark
1,oaeproject/Hilary
1,dadi/publish
9,rstudio/keras
2,dolphin-emu/dolphin
53,concourse/fly
3,omniauth/omniauth
1,qiime2/qiime2
20,KHP-Informatics/cogstack
4,DMPRoadmap/roadmap
2,w3c/scribejs
1,openaddresses/openaddresses
1,acysos/l10n-spain
2,arve0/codeclub_lesson_builder
3,linuxmint/Cinnamon
5,alphagov/notifications-api
4,chef-cookbooks/chef_client_updater
2,ckeditor/ckeditor-releases
5,openlayers/ol3
2,westnordost/StreetComplete
1,PowerShell/xStorage
1,micromdm/micromdm
3,spesmilo/electrum
1,RippleOSI/Ripple-Qewd
18,LibCrowds/libcrowds-bs4-pybossa-theme
7,xtuple/qt-client
1,boostorg/config
6,cznic/sqlite
1,GoogleCloudPlatform/appengine-plugins-core
3,ros2/rcutils
1,techninja/cncserver
1,timothycrosley/isort
2,JanJoris/oh-my-posh
1,chentsulin/electron-react-boilerplate
2,jlmakes/scrollreveal
3,foundersandcoders/master-reference
3,metarhia/jstp
1,oney/react-native-webrtc
